,beta_0,beta_1,beta_2
beta_0,0.000500315922498288,-0.0003171482249547029,0.011553263871048252
beta_1,-0.0003171482249547029,0.0009449750701458409,-0.04245457920921049
beta_2,0.011553263871048252,-0.04245457920921049,1.9920886769555701
